"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density"
2024,6037,9992813,9606925,"California","CA",-0.038616553717156554,"Los Angeles County","Los Angeles County","california/los-angeles-county",4060,2366.237684729064
2024,17031,5263608,5062578,"Illinois","IL",-0.03819243378306292,"Cook County","Cook County","illinois/cook-county",945,5357.225396825397
2024,48201,4734792,4888913,"Texas","TX",0.03255074351734977,"Harris County","Harris County","texas/harris-county",1707,2864.038078500293
2024,4013,4445059,4615909,"Arizona","AZ",0.03843593527105038,"Maricopa County","Maricopa County","arizona/maricopa-county",9202,501.62019126276897
2024,6073,3295298,3262770,"California","CA",-0.009871034425414593,"San Diego County","San Diego County","california/san-diego-county",4210,775.0047505938243
2024,6059,3185734,3121138,"California","CA",-0.02027664582165367,"Orange County","Orange County","california/orange-county",793,3935.861286254729
2024,12086,2695685,2700678,"Florida","FL",0.0018522193802317233,"Miami-Dade County","Miami-Dade County","florida/miami-dade-county",1900,1421.4094736842105
2024,48113,2610112,2610723,"Texas","TX",0.00023408957163528754,"Dallas County","Dallas County","texas/dallas-county",873,2990.5189003436426
2024,36047,2718447,2532919,"New York","NY",-0.06824779000657366,"Kings County","Kings County","new-york/kings-county",69,36708.97101449275
2024,6065,2422993,2510643,"California","CA",0.03617426876594365,"Riverside County","Riverside County","california/riverside-county",7209,348.2650853100291
2024,32003,2274887,2350611,"Nevada","NV",0.03328692809796707,"Clark County","Clark County","nevada/clark-county",7892,297.84731373542826
2024,53033,2274282,2277449,"Washington","WA",0.0013925273998562915,"King County","King County","washington/king-county",2116,1076.2991493383743
2024,36081,2388864,2225834,"New York","NY",-0.06824582730536355,"Queens County","Queens County","new-york/queens-county",109,20420.495412844037
2024,48439,2115840,2210248,"Texas","TX",0.0446196309739868,"Tarrant County","Tarrant County","texas/tarrant-county",865,2555.2
2024,6071,2183391,2196314,"California","CA",0.005918774969760232,"San Bernardino County","San Bernardino County","california/san-bernardino-county",20068,109.44359178792106
2024,48029,2015501,2115167,"Texas","TX",0.04944973979174416,"Bexar County","Bexar County","texas/bexar-county",1240,1705.7798387096775
2024,12011,1943398,1978173,"Florida","FL",0.017893915708465213,"Broward County","Broward County","florida/broward-county",1203,1644.366583541147
2024,6085,1931168,1876849,"California","CA",-0.02812753732456208,"Santa Clara County","Santa Clara County","california/santa-clara-county",1291,1453.7947327652982
2024,26163,1789586,1743396,"Michigan","MI",-0.025810438838926975,"Wayne County","Wayne County","michigan/wayne-county",612,2848.6862745098038
2024,25017,1628235,1631110,"Massachusetts","MA",0.0017657156368706683,"Middlesex County","Middlesex County","massachusetts/middlesex-county",818,1994.0220048899755
2024,6001,1680466,1616117,"California","CA",-0.03829235462068259,"Alameda County","Alameda County","california/alameda-county",737,2192.831750339213
2024,36061,1677232,1600359,"New York","NY",-0.04583325383727477,"New York County","New York County","new-york/new-york-county",23,69580.82608695653
2024,6067,1586566,1584196,"California","CA",-0.0014937922532060055,"Sacramento County","Sacramento County","california/sacramento-county",965,1641.6538860103626
2024,12057,1466255,1557655,"Florida","FL",0.06233567830970732,"Hillsborough County","Hillsborough County","florida/hillsborough-county",1023,1522.6344086021506
2024,12099,1494282,1547735,"Florida","FL",0.03577169503480593,"Palm Beach County","Palm Beach County","florida/palm-beach-county",1964,788.0524439918534
2024,42101,1600684,1534248,"Pennsylvania","PA",-0.041504756716503666,"Philadelphia County","Philadelphia County","pennsylvania/philadelphia-county",134,11449.611940298508
2024,36103,1522064,1518366,"New York","NY",-0.0024295956017618137,"Suffolk County","Suffolk County","new-york/suffolk-county",911,1666.7025246981339
2024,12095,1431679,1491071,"Florida","FL",0.04148415950782258,"Orange County","Orange County","florida/orange-county",903,1651.2414174972314
2024,36059,1390491,1378136,"New York","NY",-0.008885350570410067,"Nassau County","Nassau County","new-york/nassau-county",285,4835.564912280702
2024,48453,1296613,1342372,"Texas","TX",0.03529117786108893,"Travis County","Travis County","texas/travis-county",994,1350.4748490945674
2024,36005,1461151,1331144,"New York","NY",-0.08897574583325063,"Bronx County","Bronx County","new-york/bronx-county",42,31693.904761904763
2024,39049,1324441,1330396,"Ohio","OH",0.004496236525447284,"Franklin County","Franklin County","ohio/franklin-county",532,2500.7443609022557
2024,26125,1272493,1269827,"Michigan","MI",-0.0020950999337521203,"Oakland County","Oakland County","michigan/oakland-county",867,1464.6216839677047
2024,27053,1281649,1260360,"Minnesota","MN",-0.01661063208413538,"Hennepin County","Hennepin County","minnesota/hennepin-county",554,2275.0180505415165
2024,48085,1075736,1231723,"Texas","TX",0.14500490826745605,"Collin County","Collin County","texas/collin-county",841,1464.5933412604043
2024,39035,1262573,1229182,"Ohio","OH",-0.026446787631289492,"Cuyahoga County","Cuyahoga County","ohio/cuyahoga-county",457,2689.676148796499
2024,42003,1249565,1217045,"Pennsylvania","PA",-0.026025056719738426,"Allegheny County","Allegheny County","pennsylvania/allegheny-county",730,1667.1849315068494
2024,37183,1130483,1209772,"North Carolina","NC",0.07013727760612065,"Wake County","Wake County","north-carolina/wake-county",835,1448.8287425149701
2024,49035,1186983,1185057,"Utah","UT",-0.001622601166149762,"Salt Lake County","Salt Lake County","utah/salt-lake-county",753,1573.780876494024
2024,37119,1117423,1183327,"North Carolina","NC",0.058978560491416365,"Mecklenburg County","Mecklenburg County","north-carolina/mecklenburg-county",524,2258.257633587786
2024,6013,1166069,1153031,"California","CA",-0.011181156518182078,"Contra Costa County","Contra Costa County","california/contra-costa-county",717,1608.1324965132496
2024,51059,1148627,1144447,"Virginia","VA",-0.0036391274103777516,"Fairfax County","Fairfax County","virginia/fairfax-county",391,2926.97442455243
2024,13121,1069394,1084512,"Georgia","GA",0.014136978513064502,"Fulton County","Fulton County","georgia/fulton-county",527,2057.897533206831
2024,4019,1045175,1068848,"Arizona","AZ",0.022649795488793645,"Pima County","Pima County","arizona/pima-county",9189,116.31820655131135
2024,24031,1060904,1063881,"Maryland","MD",0.0028060974414272355,"Montgomery County","Montgomery County","maryland/montgomery-county",493,2157.973630831643
2024,12031,997784,1044633,"Florida","FL",0.04695304795426658,"Duval County","Duval County","florida/duval-county",763,1369.1127129750982
2024,48121,914398,1037646,"Texas","TX",0.13478594660093313,"Denton County","Denton County","texas/denton-county",879,1180.4846416382252
2024,6019,1009552,1018965,"California","CA",0.009323937746644084,"Fresno County","Fresno County","california/fresno-county",5958,171.02467270896273
2024,13135,958359,990879,"Georgia","GA",0.03393300422910417,"Gwinnett County","Gwinnett County","georgia/gwinnett-county",431,2299.0232018561487
2024,36119,1001453,989898,"New York","NY",-0.01153823494462547,"Westchester County","Westchester County","new-york/westchester-county",431,2296.7470997679816
2024,15003,1012399,983988,"Hawaii","HI",-0.028063046289061866,"Honolulu County","Honolulu County","hawaii/honolulu-county",601,1637.2512479201332
2024,29189,1003130,983327,"Missouri","MO",-0.019741210012660382,"St. Louis County","St. Louis County","missouri/st-louis-county",508,1935.6830708661416
2024,9110,962436,978588,"Connecticut","CT",0.016782414622894315,"Capitol Planning Region","Capitol Planning Region","connecticut/capitol-planning-region",1027,952.8607594936709
2024,18097,976659,967697,"Indiana","IN",-0.009176181246473902,"Marion County","Marion County","indiana/marion-county",396,2443.679292929293
2024,34003,953690,961932,"New Jersey","NJ",0.008642221266868644,"Bergen County","Bergen County","new-jersey/bergen-county",233,4128.4635193133045
2024,12103,959793,961400,"Florida","FL",0.0016743193584449756,"Pinellas County","Pinellas County","florida/pinellas-county",274,3508.7591240875913
2024,24033,965365,947880,"Maryland","MD",-0.018112320210490362,"Prince George's County","Prince George's County","maryland/prince-georges-county",483,1962.4844720496894
2024,48157,829109,944637,"Texas","TX",0.13933994203415967,"Fort Bend County","Fort Bend County","texas/fort-bend-county",862,1095.8665893271461
2024,36029,952342,943871,"New York","NY",-0.008894913801974491,"Erie County","Erie County","new-york/erie-county",1043,904.9578139980824
2024,53053,923589,930913,"Washington","WA",0.007929934202334676,"Pierce County","Pierce County","washington/pierce-county",1668,558.1013189448441
2024,17043,931317,920762,"Illinois","IL",-0.011333412790703878,"DuPage County","DuPage County","illinois/dupage-county",328,2807.201219512195
2024,55079,938550,914332,"Wisconsin","WI",-0.02580363326407753,"Milwaukee County","Milwaukee County","wisconsin/milwaukee-county",241,3793.908713692946
2024,6029,905910,910889,"California","CA",0.005496130962236778,"Kern County","Kern County","california/kern-county",8135,111.97160417947141
2024,48215,872856,908656,"Texas","TX",0.04101478365274458,"Hidalgo County","Hidalgo County","texas/hidalgo-county",1571,578.3933800127307
2024,47157,929763,903727,"Tennessee","TN",-0.028002835131103354,"Shelby County","Shelby County","tennessee/shelby-county",761,1187.5519053876478
2024,26099,880238,875967,"Michigan","MI",-0.004852096819269347,"Macomb County","Macomb County","michigan/macomb-county",479,1828.741127348643
2024,48141,866606,872521,"Texas","TX",0.006825477783444889,"El Paso County","El Paso County","texas/el-paso-county",1013,861.3237907206318
2024,42091,856998,872440,"Pennsylvania","PA",0.01801871182896586,"Montgomery County","Montgomery County","pennsylvania/montgomery-county",483,1806.2939958592133
2024,25027,859669,870859,"Massachusetts","MA",0.01301663779896689,"Worcester County","Worcester County","massachusetts/worcester-county",1511,576.3461283917935
2024,34023,861408,866152,"New Jersey","NJ",0.005507262528325674,"Middlesex County","Middlesex County","new-jersey/middlesex-county",309,2803.080906148867
2024,34013,859974,852510,"New Jersey","NJ",-0.008679332165856146,"Essex County","Essex County","new-jersey/essex-county",126,6765.952380952381
2024,53061,829933,849070,"Washington","WA",0.023058487853838905,"Snohomish County","Snohomish County","washington/snohomish-county",2087,406.83756588404407
2024,12105,730158,848278,"Florida","FL",0.1617732052514662,"Polk County","Polk County","florida/polk-county",1798,471.78976640711903
2024,12071,765547,846755,"Florida","FL",0.1060783988442251,"Lee County","Lee County","florida/lee-county",781,1084.1933418693982
2024,24005,853387,843420,"Maryland","MD",-0.0116793436037812,"Baltimore County","Baltimore County","maryland/baltimore-county",598,1410.4013377926422
2024,39061,830377,829395,"Ohio","OH",-0.00118259537535359,"Hamilton County","Hamilton County","ohio/hamilton-county",405,2047.888888888889
2024,6111,843371,826309,"California","CA",-0.02023071696797729,"Ventura County","Ventura County","california/ventura-county",1841,448.8370450841934
2024,40109,798241,814629,"Oklahoma","OK",0.020530140646747075,"Oklahoma County","Oklahoma County","oklahoma/oklahoma-county",709,1148.9830747531735
2024,25009,807791,813679,"Massachusetts","MA",0.007289014113799341,"Essex County","Essex County","massachusetts/essex-county",493,1650.4645030425963
2024,6075,870518,810202,"California","CA",-0.0692874817062944,"San Francisco County","San Francisco County","california/san-francisco-county",47,17238.340425531915
2024,6077,780617,807637,"California","CA",0.03461364536001654,"San Joaquin County","San Joaquin County","california/san-joaquin-county",1392,580.1989942528736
2024,41051,816514,784833,"Oregon","OR",-0.038800314507773326,"Multnomah County","Multnomah County","oregon/multnomah-county",431,1820.9582366589327
2024,13067,766378,781646,"Georgia","GA",0.019922283781632633,"Cobb County","Cobb County","georgia/cobb-county",340,2298.958823529412
2024,21111,782845,771193,"Kentucky","KY",-0.014884172473478174,"Jefferson County","Jefferson County","kentucky/jefferson-county",381,2024.1286089238845
2024,25025,797181,768038,"Massachusetts","MA",-0.036557569736358486,"Suffolk County","Suffolk County","massachusetts/suffolk-county",58,13242.034482758621
2024,13089,764489,764205,"Georgia","GA",-0.00037148997565694675,"DeKalb County","DeKalb County","georgia/dekalb-county",268,2851.5111940298507
2024,8041,732384,747834,"Colorado","CO",0.021095490890024937,"El Paso County","El Paso County","colorado/el-paso-county",2126,351.7563499529633
2024,36055,757551,746077,"New York","NY",-0.015146174976998217,"Monroe County","Monroe County","new-york/monroe-county",657,1135.5814307458143
2024,48339,625291,743154,"Texas","TX",0.18849303764167402,"Montgomery County","Montgomery County","texas/montgomery-county",1042,713.1996161228407
2024,49049,663595,735656,"Utah","UT",0.10859183688846352,"Utah County","Utah County","utah/utah-county",2004,367.0938123752495
2024,25021,724554,729477,"Massachusetts","MA",0.0067945246317044905,"Norfolk County","Norfolk County","massachusetts/norfolk-county",396,1842.1136363636363
2024,6081,762479,723777,"California","CA",-0.050758119240005284,"San Mateo County","San Mateo County","california/san-mateo-county",449,1611.9755011135858
2024,48491,615552,722109,"Texas","TX",0.17310803961322518,"Williamson County","Williamson County","texas/williamson-county",1116,647.0510752688172
2024,29095,717615,720902,"Missouri","MO",0.0045804505201256784,"Jackson County","Jackson County","missouri/jackson-county",605,1191.5735537190083
2024,8031,717606,719701,"Colorado","CO",0.0029194293247269965,"Denver County","Denver County","colorado/denver-county",153,4703.928104575163
2024,47037,716059,717317,"Tennessee","TN",0.0017568384728074982,"Davidson County","Davidson County","tennessee/davidson-county",503,1426.0775347912524
2024,34017,721879,708563,"New Jersey","NJ",-0.0184463047131167,"Hudson County","Hudson County","new-jersey/hudson-county",46,15403.54347826087
2024,17097,713281,707621,"Illinois","IL",-0.007935161598304208,"Lake County","Lake County","illinois/lake-county",444,1593.740990990991
2024,17197,696826,703410,"Illinois","IL",0.009448556741568304,"Will County","Will County","illinois/will-county",836,841.3995215311005
2024,40143,670702,688675,"Oklahoma","OK",0.026797295967508683,"Tulsa County","Tulsa County","oklahoma/tulsa-county",570,1208.201754385965
2024,11001,670839,686995,"District of Columbia","DC",0.02408327482451078,"District of Columbia","District of Columbia","unknown/district-of-columbia",61,11262.213114754099
2024,35001,676853,670215,"New Mexico","NM",-0.009807151626719524,"Bernalillo County","Bernalillo County","new-mexico/bernalillo-county",1161,577.2739018087856
2024,44007,659963,663806,"Rhode Island","RI",0.005823053716647708,"Providence County","Providence County","rhode-island/providence-county",409,1622.997555012225
2024,26081,658492,663788,"Michigan","MI",0.008042618589140016,"Kent County","Kent County","michigan/kent-county",849,781.846878680801
2024,34029,638465,662731,"New Jersey","NJ",0.03800678189094153,"Ocean County","Ocean County","new-jersey/ocean-county",628,1055.3041401273886
2024,1073,674717,660706,"Alabama","AL",-0.020765743267177172,"Jefferson County","Jefferson County","alabama/jefferson-county",1112,594.160071942446
2024,12009,608775,657251,"Florida","FL",0.07962876267915076,"Brevard County","Brevard County","florida/brevard-county",1015,647.5379310344828
2024,12101,566156,656851,"Florida","FL",0.1601943633910088,"Pasco County","Pasco County","florida/pasco-county",747,879.3186077643909
2024,8005,655272,655853,"Colorado","CO",0.0008866547021695315,"Arapahoe County","Arapahoe County","colorado/arapahoe-county",798,821.8709273182957
2024,42017,646173,646411,"Pennsylvania","PA",0.00036832241520468045,"Bucks County","Bucks County","pennsylvania/bucks-county",604,1070.2168874172185
2024,34025,642836,641370,"New Jersey","NJ",-0.002280519448195184,"Monmouth County","Monmouth County","new-jersey/monmouth-county",468,1370.448717948718
2024,20091,611149,625383,"Kansas","KS",0.023290555985528982,"Johnson County","Johnson County","kansas/johnson-county",474,1319.373417721519
2024,9190,618368,624957,"Connecticut","CT",0.01065546729455602,"Western CT Planning Region","Western CT Planning Region","connecticut/western-connecticut-planning-region",532,1174.7312030075188
2024,12127,555776,601049,"Florida","FL",0.0814590770382313,"Volusia County","Volusia County","florida/volusia-county",1101,545.911898274296
2024,41067,601130,597644,"Oregon","OR",-0.005799078402342284,"Washington County","Washington County","oregon/washington-county",724,825.4751381215469
2024,24003,589106,595817,"Maryland","MD",0.011391837801685956,"Anne Arundel County","Anne Arundel County","maryland/anne-arundel-county",415,1435.7036144578312
2024,31055,585431,592974,"Nebraska","NE",0.012884524393139474,"Douglas County","Douglas County","nebraska/douglas-county",326,1818.9386503067485
2024,25005,576772,583938,"Massachusetts","MA",0.012424320181978254,"Bristol County","Bristol County","massachusetts/bristol-county",553,1055.9457504520797
2024,55025,562615,582936,"Wisconsin","WI",0.036118837926468306,"Dane County","Dane County","wisconsin/dane-county",1196,487.4046822742475
2024,10003,570918,581930,"Delaware","DE",0.019288234037112106,"New Castle County","New Castle County","delaware/new-castle-county",426,1366.0328638497654
2024,42045,576356,577567,"Pennsylvania","PA",0.002101131939287626,"Delaware County","Delaware County","pennsylvania/delaware-county",184,3138.9510869565215
2024,8059,583081,576921,"Colorado","CO",-0.010564569931107326,"Jefferson County","Jefferson County","colorado/jefferson-county",764,755.1321989528795
2024,34039,573660,575035,"New Jersey","NJ",0.0023968901439876955,"Union County","Union County","new-jersey/union-county",103,5582.864077669903
2024,45045,527249,568227,"South Carolina","SC",0.07772039396945285,"Greenville County","Greenville County","south-carolina/greenville-county",786,722.9351145038167
2024,9170,564076,567914,"Connecticut","CT",0.0068040476815180995,"South Central CT Planning Region","South Central CT Planning Region","connecticut/south-central-connecticut-planning-region",367,1547.449591280654
2024,24510,583157,561371,"Maryland","MD",-0.03735872157926601,"Baltimore city","Baltimore city","maryland/baltimore-city",81,6930.506172839506
2024,42071,552821,560518,"Pennsylvania","PA",0.013923132442508424,"Lancaster County","Lancaster County","pennsylvania/lancaster-county",944,593.7690677966102
2024,37081,539321,553275,"North Carolina","NC",0.025873273987105927,"Guilford County","Guilford County","north-carolina/guilford-county",646,856.4628482972137
2024,53063,541175,553170,"Washington","WA",0.022164734143299336,"Spokane County","Spokane County","washington/spokane-county",1764,313.58843537414964
2024,42029,534830,552930,"Pennsylvania","PA",0.03384252940186605,"Chester County","Chester County","pennsylvania/chester-county",751,736.2583222370173
2024,6099,553257,551634,"California","CA",-0.0029335372168811658,"Stanislaus County","Stanislaus County","california/stanislaus-county",1496,368.73930481283423
2024,8001,520500,539221,"Colorado","CO",0.0359673390970221,"Adams County","Adams County","colorado/adams-county",1167,462.057412167952
2024,25023,530200,537368,"Massachusetts","MA",0.013519426631459774,"Plymouth County","Plymouth County","massachusetts/plymouth-county",659,815.4294385432473
2024,39153,539821,535697,"Ohio","OH",-0.007639569412823843,"Summit County","Summit County","ohio/summit-county",413,1297.087167070218
2024,27123,551716,534847,"Minnesota","MN",-0.030575513488823924,"Ramsey County","Ramsey County","minnesota/ramsey-county",152,3518.7302631578946
2024,39113,537119,534118,"Ohio","OH",-0.005587216240721338,"Montgomery County","Montgomery County","ohio/montgomery-county",461,1158.6073752711497
2024,20173,524821,531570,"Kansas","KS",0.012859622614186605,"Sedgwick County","Sedgwick County","kansas/sedgwick-county",997,533.1695085255767
2024,16001,498278,530342,"Idaho","ID",0.0643496200915954,"Ada County","Ada County","idaho/ada-county",1052,504.1273764258555
2024,34007,523122,529743,"New Jersey","NJ",0.012656703407618153,"Camden County","Camden County","new-jersey/camden-county",221,2397.027149321267
2024,53011,505338,525563,"Washington","WA",0.04002271746830832,"Clark County","Clark County","washington/clark-county",628,836.8837579617834
2024,34027,508439,517627,"New Jersey","NJ",0.01807099770080578,"Morris County","Morris County","new-jersey/morris-county",461,1122.8351409978309
2024,17089,516181,515825,"Illinois","IL",-0.000689680557788841,"Kane County","Kane County","illinois/kane-county",519,993.8824662813103
2024,34031,523439,513156,"New Jersey","NJ",-0.019645078032015206,"Passaic County","Passaic County","new-jersey/passaic-county",186,2758.9032258064517
2024,19153,493022,509326,"Iowa","IA",0.033069518195942615,"Polk County","Polk County","iowa/polk-county",572,890.43006993007
2024,47093,480516,505958,"Tennessee","TN",0.0529472483746638,"Knox County","Knox County","tennessee/knox-county",508,995.9803149606299
2024,4021,430187,503441,"Arizona","AZ",0.1702840857580541,"Pinal County","Pinal County","arizona/pinal-county",5367,93.80305571082542
2024,18089,498957,501539,"Indiana","IN",0.005174794621580547,"Lake County","Lake County","indiana/lake-county",499,1005.0881763527054
2024,32031,487710,499064,"Nevada","NV",0.023280228004346926,"Washoe County","Washoe County","nevada/washoe-county",6316,79.01583280557315
2024,51153,482834,492268,"Virginia","VA",0.01953880629781657,"Prince William County","Prince William County","virginia/prince-william-county",335,1469.4567164179105
2024,36085,494598,490016,"New York","NY",-0.009264089219932159,"Richmond County","Richmond County","new-york/richmond-county",58,8448.551724137931
2024,12117,471455,489919,"Florida","FL",0.03916386505604996,"Seminole County","Seminole County","florida/seminole-county",309,1585.4983818770227
2024,6107,473914,481052,"California","CA",0.01506180446241312,"Tulare County","Tulare County","california/tulare-county",4824,99.72056384742952
2024,6097,488282,480955,"California","CA",-0.015005672951286297,"Sonoma County","Sonoma County","california/sonoma-county",1575,305.36825396825395
2024,12115,436237,475474,"Florida","FL",0.08994422756437448,"Sarasota County","Sarasota County","florida/sarasota-county",556,855.1690647482014
2024,34005,461682,472233,"New Jersey","NJ",0.022853392594903044,"Burlington County","Burlington County","new-jersey/burlington-county",799,591.0300375469336
2024,42133,456720,468231,"Pennsylvania","PA",0.02520362585391478,"York County","York County","pennsylvania/york-county",904,517.9546460176991
2024,36067,474192,466018,"New York","NY",-0.017237743361338875,"Onondaga County","Onondaga County","new-york/onondaga-county",778,598.9948586118252
2024,25013,464311,459824,"Massachusetts","MA",-0.009663781387905912,"Hampden County","Hampden County","massachusetts/hampden-county",617,745.257698541329
2024,9140,449285,458666,"Connecticut","CT",0.02087984241628371,"Naugatuck Valley Planning Region","Naugatuck Valley Planning Region","connecticut/naugatuck-valley-planning-region",413,1110.5714285714287
2024,12097,391141,453025,"Florida","FL",0.15821404557435814,"Osceola County","Osceola County","florida/osceola-county",1328,341.1332831325301
2024,12081,401619,453021,"Florida","FL",0.12798697272788395,"Manatee County","Manatee County","florida/manatee-county",743,609.7187079407806
2024,51810,459684,452229,"Virginia","VA",-0.01621766256819901,"Virginia Beach city","Virginia Beach city","virginia/virginia-beach-city",245,1845.8326530612244
2024,27037,440423,451608,"Minnesota","MN",0.025396039716363505,"Dakota County","Dakota County","minnesota/dakota-county",563,802.145648312611
2024,6095,452723,449551,"California","CA",-0.00700649182833657,"Solano County","Solano County","california/solano-county",822,546.8990267639903
2024,22033,455899,446843,"Louisiana","LA",-0.019864048835377957,"East Baton Rouge Parish","East Baton Rouge Parish","louisiana/east-baton-rouge-parish",456,979.9188596491229
2024,51107,422705,439902,"Virginia","VA",0.04068321879324821,"Loudoun County","Loudoun County","virginia/loudoun-county",516,852.5232558139535
2024,12069,386216,438834,"Florida","FL",0.13623982434699755,"Lake County","Lake County","florida/lake-county",952,460.96008403361344
2024,6083,448424,438599,"California","CA",-0.02191006725777389,"Santa Barbara County","Santa Barbara County","california/santa-barbara-county",2734,160.4239209948793
2024,42011,428671,434069,"Pennsylvania","PA",0.012592407697278318,"Berks County","Berks County","pennsylvania/berks-county",856,507.08995327102804
2024,45019,409899,429384,"South Carolina","SC",0.04753610035642919,"Charleston County","Charleston County","south-carolina/charleston-county",918,467.73856209150324
2024,6061,405927,429048,"California","CA",0.05695851717180678,"Placer County","Placer County","california/placer-county",1407,304.9381663113006
2024,45079,415671,428750,"South Carolina","SC",0.03146478825802146,"Richland County","Richland County","south-carolina/richland-county",757,566.3804491413474
2024,6053,438322,428562,"California","CA",-0.022266735413691285,"Monterey County","Monterey County","california/monterey-county",3282,130.57952468007312
2024,48061,421480,428509,"Texas","TX",0.016676947897883654,"Cameron County","Cameron County","texas/cameron-county",892,480.39125560538116
2024,33011,422913,427215,"New Hampshire","NH",0.010172304942151156,"Hillsborough County","Hillsborough County","new-hampshire/hillsborough-county",877,487.13226909920184
2024,39095,430859,424249,"Ohio","OH",-0.015341445809417875,"Lucas County","Lucas County","ohio/lucas-county",340,1247.7911764705882
2024,12083,377472,423481,"Florida","FL",0.1218871863343507,"Marion County","Marion County","florida/marion-county",1588,266.6756926952141
2024,41005,422468,423228,"Oregon","OR",0.0017989528200952343,"Clackamas County","Clackamas County","oregon/clackamas-county",1871,226.20416889363977
2024,1089,390503,421595,"Alabama","AL",0.0796203870392802,"Madison County","Madison County","alabama/madison-county",802,525.6795511221945
2024,29183,406417,419520,"Missouri","MO",0.032240285224289345,"St. Charles County","St. Charles County","missouri/st-charles-county",561,747.807486631016
2024,22051,439725,417524,"Louisiana","LA",-0.050488373415202736,"Jefferson Parish","Jefferson Parish","louisiana/jefferson-parish",301,1387.1229235880398
2024,55133,407496,414909,"Wisconsin","WI",0.01819158961069567,"Waukesha County","Waukesha County","wisconsin/waukesha-county",550,754.38
2024,1097,414377,411882,"Alabama","AL",-0.0060210870777094305,"Mobile County","Mobile County","alabama/mobile-county",1229,335.13588283157037
2024,45051,353765,411809,"South Carolina","SC",0.16407502155385645,"Horry County","Horry County","south-carolina/horry-county",1133,363.4677846425419
2024,12021,377310,411104,"Florida","FL",0.08956560918077972,"Collier County","Collier County","florida/collier-county",1997,205.86079118678018
2024,48039,373493,409642,"Texas","TX",0.09678628515126131,"Brazoria County","Brazoria County","texas/brazoria-county",1363,300.5443873807777
2024,36071,400986,408449,"New York","NY",0.018611622350904966,"Orange County","Orange County","new-york/orange-county",812,503.01600985221677
2024,26049,405777,401121,"Michigan","MI",-0.01147428267250239,"Genesee County","Genesee County","michigan/genesee-county",637,629.7032967032967
2024,5119,399274,400631,"Arkansas","AR",0.0033986685834790364,"Pulaski County","Pulaski County","arkansas/pulaski-county",758,528.5369393139841
2024,48027,372258,398932,"Texas","TX",0.07165460513944621,"Bell County","Bell County","texas/bell-county",1054,378.4933586337761
2024,18003,386103,397446,"Indiana","IN",0.02937817110978158,"Allen County","Allen County","indiana/allen-county",657,604.9406392694063
2024,39017,390878,396358,"Ohio","OH",0.01401971970793947,"Butler County","Butler County","ohio/butler-county",467,848.7323340471092
2024,37067,383202,396181,"North Carolina","NC",0.03386986497982791,"Forsyth County","Forsyth County","north-carolina/forsyth-county",408,971.031862745098
2024,8035,360323,391875,"Colorado","CO",0.08756587839244223,"Douglas County","Douglas County","colorado/douglas-county",841,465.96313912009515
2024,51041,365311,389462,"Virginia","VA",0.06611079326929659,"Chesterfield County","Chesterfield County","virginia/chesterfield-county",424,918.5424528301887
2024,12111,331441,388286,"Florida","FL",0.17150865463234788,"St. Lucie County","St. Lucie County","florida/st-lucie-county",572,678.8216783216783
2024,47065,367251,385126,"Tennessee","TN",0.048672433839526574,"Hamilton County","Hamilton County","tennessee/hamilton-county",542,710.5645756457565
2024,34021,386466,382563,"New Jersey","NJ",-0.01009920665724795,"Mercer County","Mercer County","new-jersey/mercer-county",224,1707.8705357142858
